1,agree,賛成する,1,1,1
2,oppose,~に反対する,1,1,1
3,advise,~に忠告する,1,1,1
4,tip,助言,1,4,1
5,discuss,~について話し合う,1,1,1
6,blame,~に責任があるとする,1,1,1
7,argue,~と主張する,1,1,1
8,claim,~と主張する,1,1,1
9,complain,文句を言う,1,1,1
10,offer,~を申し出る,1,1,1
11,suggest,~を示唆する,1,1,2
12,recommend,~を推薦する,1,1,2
13,grateful,感謝している,1,2,2
14,apologize,謝る,1,1,2
15,excuse,言い訳,1,4,2
16,celebrate,~を祝う,1,1,2
17,admire,~に感心する,1,1,2
18,impress,~に感銘を与える,1,1,2
19,award,賞,1,4,2
20,describe,~を説明する,1,1,2
21,explain,~を説明する,1,1,3
22,communicate,意思の疎通をはかる,1,1,3
23,express,（意見、気持ち）を表現する,1,1,3
24,promise,約束,1,4,3
25,information,情報,1,4,3
26,technology,（科学）技術,1,4,3
27,research,（学術）研究,1,4,3
28,material,材料,1,4,3
29,artificial,人工的な,1,2,3
30,electric,電機の,1,2,3
31,invent,~を発明する,1,1,4
32,discover,~を発見する,1,1,4
33,develop,発達する,1,1,4
34,skill,技術,1,4,4
35,ability,能力,1,4,4
36,talent,才能,1,4,4
37,effort,努力,1,4,4
38,practice,練習,1,4,4
39,game,試合,1,4,4
40,achieve,~を達成する,1,1,4
41,manage,何とかして~する,1,1,5
42,improve,~を改善する,1,1,5
43,produce,~を生産する,1,1,5
44,create,~を創造する,1,1,5
45,establish,~を確立する,1,1,5
46,save,（時間、手間）を省く,1,1,5
47,medicine,薬,1,4,5
48,patient,患者,1,4,5
49,condition,状態,1,4,5
50,medical,医療の,1,2,5
51,stress,ストレス,2,4,1
52,suffer,苦しむ,2,1,1
53,exercise,運動,2,4,1
54,breathe,呼吸する,2,1,1
55,thirsty,のどが渇いた,2,2,1
56,physical,身体的な,2,2,1
57,fever,熱,2,4,1
58,strength,体力,2,4,1
59,tear,涙,2,4,1
60,taste,~の味がする,2,1,1
61,rule,規則,2,4,2
62,role,役割,2,4,2
63,habit,習慣,2,4,2
64,custom,習慣,2,4,2
65,tradition,伝統,2,4,2
66,society,社会,2,4,2
67,law,法律,2,4,2
68,ancestor,祖先,2,4,2
69,population,人口,2,4,2
70,native,母国の,2,2,2
71,abroad,海外へ,2,3,3
72,local,その土地の,2,2,3
73,survey,調査,2,4,3
74,evidence,証拠,2,4,3
75,value,価値,2,4,3
76,treasure,財宝,2,4,3
77,fashion,流行,2,4,3
78,public,大衆,2,4,3
79,vote,投票,2,4,3
80,government,政府,2,4,3
81,nation,国家,2,4,4
82,capital,首都,2,4,4
83,state,州,2,4,4
84,political,政治的な,2,2,4
85,price,価格,2,4,4
86,cost,（費用）を要する,2,1,4
87,sum,金額,2,4,4
88,budget,予算,2,4,4
89,fee,料金,2,4,4
90,fare,運賃,2,4,4
91,bill,勘定,2,4,5
92,trade,貿易,2,4,5
93,wealth,富,2,4,5
94,economy,経済,2,4,5
95,company,会社,2,4,5
96,task,仕事,2,4,5
97,earn,（金）を稼ぐ,2,1,5
98,hurt,（身体の部位が）痛む,2,1,5
99,injure,~を痛める,2,1,5
100,damage,~に損害を与える,2,1,5
101,destroy,~を（完全に）破壊する,3,1,1
102,ruin,~を台無しにする,3,1,1
103,danger,危険,3,4,1
104,neighbor,近所の人,3,4,1
105,audience,聴衆,3,4,1
106,crowd,群衆,3,4,1
107,author,著者,3,4,1
108,staff,職員,3,4,1
109,clerk,店員,3,4,1
110,customer,客,3,4,1
111,passenger,乗客,3,4,2
112,elderly,年配の,3,2,2
113,female,女性の,3,2,2
114,head,向かう,3,1,2
115,follow,~の後について行く,3,1,2
116,wander,歩き回る,3,1,2
117,travel,旅行する,3,1,2
118,pass,~を通り過ぎる,3,1,2
119,likely,~しそうだ,3,2,2
120,natural,当然の,3,2,2
121,certain,確かな,3,2,3
122,probably,おそらく,3,3,3
123,face,~に直面する,3,1,3
124,avoid,~を避ける,3,1,3
125,solve,~を解決する,3,1,3
126,trouble,問題,3,4,3
127,issue,問題,3,4,3
128,cheer,~に声援を送る,3,1,3
129,encourage,(A)に(~するように)促す,3,1,3
130,support,~を支持する,3,1,3
131,prevent,~を妨げる,3,1,4
132,deny,~を否定する,3,1,4
133,enable,可能にする,3,2,4
134,succeed,成功する,3,1,4
135,miss,~を逃す,3,1,4
136,fail,失敗する,3,1,4
137,mistake,間違い,3,4,4
138,check,~を調べる,3,1,4
139,hide,~を隠す,3,1,4
140,draw,を描く,3,1,4
141,join,に加わる,3,1,5
142,throw,~を投げる,3,1,5
143,operate,を操作する,3,1,5
144,repair,~を修理する,3,1,5
145,sew,~を縫う,3,1,5
146,raise,~を上げる,3,1,5
147,serve,（飲食物）を出す,3,1,5
148,pour,~を注ぐ,3,1,5
149,spill,~をこぼす,3,1,5
150,pretend,ふりをする,3,1,5
151,behave,ふるまう,4,1,1
152,bear,~に耐える,4,1,1
153,explore,~を探検する,4,1,1
154,happen,起こる,4,1,1
155,appear,現れる,4,1,1
156,remain,~のままでいる,4,1,1
157,survive,生き残る,4,1,1
158,belong,所属している,4,1,1
159,represent,~を代表する,4,1,1
160,base,~の基礎を置く,4,1,1
161,include,~を含む,4,1,2
162,contain,~を含む,4,1,2
163,own,自分自身の,4,2,2
164,share,~を共有する,4,1,2
165,collect,を集める,4,1,2
166,gather,~を集める,4,1,2
167,history,歴史,4,4,2
168,subject,科目,4,4,2
169,education,教育,4,4,2
170,knowledge,知識,4,4,2
171,uniform,制服,4,4,3
172,grade,学年,4,4,3
173,senior,最上級生,4,4,3
174,graduate,卒業する,4,1,3
175,decide,を決定する,4,1,3
176,judge,~を判断する,4,1,3
177,quit,~を（完全に）やめる,4,1,3
178,retire,引退する,4,1,3
179,review,再検討,4,4,3
180,choose,~を選ぶ,4,1,3
181,imagine,~を想像する,4,1,4
182,guess,~を推測する,4,1,4
183,expect,~を予期する,4,1,4
184,predict,~を予測する,4,1,4
185,remember,を覚えている,4,1,4
186,remind,思い出させる,4,1,4
187,realize,~を（はっきり）理解する,4,1,4
188,appreciate,〜を（正しく）理解する,4,1,4
189,accept,~を受け入れる,4,1,4
190,consider,~をよく考える,4,1,4
191,mind,気にする,4,1,5
192,wonder,~かなと思う,4,1,5
193,seem,~のように思われる,4,1,5
194,compare,(A)を(Bと)比較する,4,1,5
195,concentrate,集中する,4,1,5
196,focus,焦点を当てる,4,1,5
197,allow,~を許可する,4,1,5
198,admit,~を認める,4,1,5
199,ground,地面,4,4,5
200,pollution,汚染,4,4,5
201,sight,光景,5,4,1
202,view,眺め,5,4,1
203,landscape,風景,5,4,1
204,nature,自然,5,4,1
205,seed,種,5,4,1
206,plant,植物,5,4,1
207,bloom,咲く,5,1,1
208,harvest,収穫,5,4,1
209,insect,昆虫,5,4,1
210,earthquake,地震,5,4,1
211,temperature,温度,5,4,2
212,degree,度,5,4,2
213,flood,洪水,5,4,2
214,freeze,凍る,5,1,2
215,reflect,を反射する,5,1,2
216,polite,礼儀正しい,5,2,2
217,rude,無礼な,5,2,2
218,lonely,孤独な,5,2,2
219,lazy,怠惰な,5,2,2
220,strict,厳しい,5,2,2
221,ugly,醜い,5,2,3
222,intelligent,知的な,5,2,3
223,silly,ばかな,5,2,3
224,nervous,あがって,5,2,3
225,awake,目を覚まして,5,2,3
226,attitude,態度,5,4,3
227,character,性格,5,4,3
228,characteristic,特徴,5,4,3
229,feature,特徴,5,4,3
230,detail,詳細,5,4,3
231,advantage,利点,5,4,4
232,fault,欠点,5,4,4
233,quality,質,5,4,4
234,correct,正確な,5,2,4
235,ideal,理想的な,5,2,4
236,fair,公正な,5,2,4
237,appropriate,適切な,5,2,4
238,famous,有名な,5,2,4
239,elementary,初歩的な,5,2,4
240,major,主要な,5,2,4
241,matter,重要である,5,1,5
242,bright,明るい,5,2,5
243,brilliant,輝いている,5,2,5
244,lively,生き生きとした,5,2,5
245,comfortable,快適な,5,2,5
246,pleasant,楽しい,5,2,5
247,convenient,都合がよい,5,2,5
248,FALSE,誤った,5,2,5
249,terrible,ひどい,5,2,5
250,awful,ひどい,5,2,5
251,thin,薄い,6,2,1
252,tight,引き締まった,6,2,1
253,loose,ゆるい,6,2,1
254,raw,生の,6,2,1
255,empty,空の,6,2,1
256,smooth,滑らかな,6,2,1
257,direct,直接的な,6,2,1
258,familiar,知られた,6,2,1
259,similar,似た,6,2,1
260,differ,異なる,6,1,1
261,vary,さまざまだ,6,1,2
262,specific,特定の,6,2,2
263,common,普及した,6,2,2
264,unusual,珍しい,6,2,2
265,add,を加える,6,1,2
266,increase,増える,6,1,2
267,reduce,を減らす,6,1,2
268,divide,を分割する,6,1,2
269,count,を数える,6,1,2
270,weigh,の重さがある,6,1,2
271,quarter,4分の1,6,4,3
272,lot,多くの,6,2,3
273,pile,積み重ね,6,4,3
274,rate,割合,6,4,3
275,figure,数字,6,4,3
276,lack,不足,6,4,3
277,extra,余分な,6,2,3
278,ready,用意ができている,6,2,3
279,prepare,の準備をする,6,1,3
280,adjust,慣れる,6,1,3
281,apply,当てはまる,6,1,4
282,suit,に適している,6,1,4
283,case,場合,6,4,4
284,scene,場面,6,4,4
285,chance,機会,6,4,4
286,opportunity,機会,6,4,4
287,experience,経験,6,4,4
288,time,時間,6,4,4
289,spring,春,6,4,4
290,minute,分,6,4,4
291,period,時代,6,4,5
292,generation,世代,6,4,5
293,anniversary,記念日,6,4,5
294,recently,最近,6,3,5
295,used,以前は〜だった,6,2,5
296,early,早く,6,2,5
297,first,第1の,6,2,5
298,latest,最新の,6,2,5
299,modern,現代の,6,2,5
300,latter,後半の,6,2,5
301,spend,を費やす,7,1,1
302,delay,を遅らせる,7,1,1
303,borrow,を借りる,7,1,1
304,lend,を貸す,7,1,1
305,rent,を借りる,7,1,1
306,provide,を供給する,7,1,1
307,shelf,棚,7,4,1
308,board,板,7,4,1
309,garbage,ごみ,7,4,1
310,item,品物,7,4,1
311,wheel,車輪,7,4,2
312,note,メモ,7,4,2
313,present,プレゼント、現在,7,4,2
314,stuff,もの,7,4,2
315,string,ひも,7,4,2
316,leisure,余韻,7,4,2
317,diet,食事,7,4,2
318,furniture,家具,7,4,2
319,refrigerator,冷蔵庫,7,4,2
320,traffic,交通,7,4,2
321,jam,渋滞,7,4,3
322,sell,を売る,7,1,3
323,pay,を支払う,7,1,3
324,wear,を身に付けている,7,1,3
325,clothes,服,7,4,3
326,marry,と結婚する,7,1,3
327,greet,に挨拶する,7,1,3
328,order,を注文する,7,1,3
329,room,部屋,7,4,3
330,story,階,7,4,3
331,site,用地,7,4,4
332,yard,庭,7,4,4
333,bottom,底,7,4,4
334,line,列,7,4,4
335,row,列,7,4,4
336,background,背景,7,4,4
337,direction,方向,7,4,4
338,art,芸術,7,4,4
339,culture,文化,7,4,4
340,cartoon,漫画,7,4,4
341,novel,小説,7,4,5
342,instrument,楽器,7,4,5
343,tune,曲,7,4,5
344,sentence,文,7,4,5
345,article,記事,7,4,5
346,passage,一節,7,4,5
347,vocabulary,語彙,7,4,5
348,rumor,うわさ,7,4,5
349,spell,をつづる,7,1,5
350,pronounce,を発音する,7,1,5
351,sign,兆候,8,4,1
352,mean,を意味する,8,1,1
353,publish,を出版する,8,1,1
354,display,展示する,8,1,1
355,trust,を信頼する,8,1,1
356,depend,次第である,8,1,1
357,rely,頼る,8,1,1
358,pray,祈る,8,1,1
359,beg,を嘆願する,8,1,1
360,prefer,を好む,8,1,1
361,weep,しくしく泣く,8,1,2
362,hate,を嫌う,8,1,2
363,worry,心配をする,8,1,2
364,anxious,心配して,8,2,2
365,satisfy,を満足させる,8,1,2
366,annoy,をいらだたせる,8,1,2
367,bother,に面倒をかける,8,1,2
368,disturb,に迷惑をかける,8,1,2
369,frighten,をおびえさせる,8,1,2
370,upset,を動揺させる,8,1,2
371,regret,を後悔する,8,1,3
372,favor,親切な行為,8,4,3
373,interest,関心,8,4,3
374,pity,残念なこと,8,4,3
375,due,が原因で,8,3,3
376,reason,理由,8,4,3
377,result,結果,8,4,3
378,effect,効果,8,4,3
379,influence,影響,8,4,3
380,cause,を引き起こす,8,1,3
381,affect,に影響を与える,8,1,4
382,way,方法,8,4,4
383,manner,方法,8,4,4
384,purpose,目的,8,4,4
385,sake,ため,8,4,4
386,right,ちょうど,8,3,4
387,complete,完全な,8,2,4
388,hardly,ほとんど~ない,8,3,4
389,nearly,ほとんど,8,3,4
390,partly,ある程度,8,3,4
391,actually,実は,8,3,5
392,indeed,実際に,8,3,5
393,even,さえも,8,3,5
394,exactly,正確に,8,3,5
395,gradually,徐々に,8,3,5
396,therefore,それゆえに,8,3,5
397,instead,代わりに,8,3,5
398,until,~まで,8,3,5
399,besides,~に加えて,8,3,5
400,except,~を除いて,8,3,5
1001,propose,を提案する,21,1,1
1002,demand,を要求する,21,1,1
1003,desire,願望,21,4,1
1004,dismiss,を退ける,21,1,1
1005,bless,を祝福する,21,1,1
1006,glory,栄光,21,4,1
1007,compliment,褒め言葉,21,4,1
1008,feast,宴会,21,4,1
1009,declare,を宣言する,21,1,1
1010,demonstrate,を示す,21,1,1
1011,highlight,を強調する,21,1,2
1012,imply,を意味する,21,1,2
1013,recite,を暗唱する,21,1,2
1014,ray,光線,21,4,2
1015,radiation,放射線,21,4,2
1016,laboratory,研究室,21,4,2
1017,oxygen,酸素,21,4,2
1018,molecule,分子,21,4,2
1019,compound,化合物,21,4,2
1020,tissue,組織,21,4,2
1021,cell,細胞,21,4,3
1022,gene,遺伝子,21,4,3
1023,solid,固体の,21,2,3
1024,satellite,衛星,21,4,3
1025,orbit,軌道,21,4,3
1026,launch,を打ち上げる,21,1,3
1027,attempt,試み,21,4,3
1028,capacity,能力,21,4,3
1029,capable,力がある,21,2,3
1030,attain,を達成する,21,1,3
1031,desperate,必死の,21,2,4
1032,struggle,苦闘する,21,1,4
1033,dedicate,AをBにささげる,21,1,4
1034,pain,苦痛,21,4,4
1035,strain,負担,21,4,4
1036,remedy,治療法,21,4,4
1037,fatigue,疲労,21,4,4
1038,obesity,肥満,21,4,4
1039,nursing,看護,21,4,4
1040,terminal,末期の,21,2,4
1041,pregnant,妊娠した,21,2,5
1042,heal,を治す,21,1,5
1043,ankle,足首,21,4,5
1044,thumb,親指,21,4,5
1045,forehead,額,21,4,5
1046,chin,下あご,21,4,5
1047,chest,胸,21,4,5
1048,breast,胸,21,4,5
1049,lung,肺,21,4,5
1050,organ,臓器,21,4,5
1051,vision,視力,22,4,1
1052,skeleton,がい骨,22,4,1
1053,sensation,感覚,22,4,1
1054,code,規定,22,4,1
1055,agenda,議題,22,4,1
1056,gender,性,22,4,1
1057,liberty,自由,22,4,1
1058,humanity,人類,22,4,1
1059,mankind,人類,22,4,1
1060,authority,権威,22,4,1
1061,justice,正義,22,4,2
1062,insurance,保険,22,4,2
1063,hardship,苦難,22,4,2
1064,poverty,貧困,22,4,2
1065,chaos,大混乱,22,4,2
1066,isolation,孤立,22,4,2
1067,interaction,交流,22,4,2
1068,region,地域,22,4,2
1069,proof,証拠,22,4,2
1070,principle,原理,22,4,2
1071,origin,起源,22,4,3
1072,setting,環境,22,4,3
1073,monument,記念碑,22,4,3
1074,mission,任務,22,4,3
1075,project,計画,22,4,3
1076,revolution,革命,22,4,3
1077,pension,年金,22,4,3
1078,found,を創立する,22,1,3
1079,contract,契約,22,4,3
1080,negotiate,交渉する,22,1,3
1081,cooperate,協力する,22,1,4
1082,restore,を回復する,22,1,4
1083,conservative,保守的な,22,2,4
1084,affair,情勢,22,4,4
1085,agency,機関,22,4,4
1086,council,議会,22,4,4
1087,kingdom,王国,22,4,4
1088,republic,共和国,22,4,4
1089,empire,帝国,22,4,4
1090,security,安全,22,4,4
1091,aid,援助,22,4,5
1092,reform,改革,22,4,5
1093,mayor,市長,22,4,5
1094,minister,大臣,22,4,5
1095,poll,世論調査,22,4,5
1096,fortune,財産,22,4,5
1097,property,財産,22,4,5
1098,fund,資金,22,4,5
1099,stock,株,22,4,5
1100,bankrupt,倒産した,22,2,5
1101,labor,労働,23,4,1
1102,overwork,働きすぎる,23,1,1
1103,firm,会社,23,4,1
1104,union,労働組合,23,4,1
1105,administration,経営,23,4,1
1106,secretary,秘書,23,4,1
1107,editor,編集長,23,4,1
1108,client,依頼人,23,4,1
1109,colleague,同僚,23,4,1
1110,basis,基礎,23,4,1
1111,element,要素,23,4,2
1112,constitute,を構成する,23,1,2
1113,unify,を統一する,23,1,2
1114,unite,団結する,23,1,2
1115,combine,(A)を(Bと)結び付ける,23,1,2
1116,murder,殺人,23,4,2
1117,arrest,を逮捕する,23,1,2
1118,prison,刑務所,23,4,2
1119,vice,犯罪,23,4,2
1120,witness,目撃者,23,4,2
1121,conflict,対立,23,4,3
1122,bullet,弾丸,23,4,3
1123,wound,傷,23,4,3
1124,triumph,勝利,23,4,3
1125,military,軍事的な,23,2,3
1126,strategy,戦略,23,4,3
1127,conquer,を征服する,23,1,3
1128,defend,を守る,23,1,3
1129,quarrel,口論する,23,1,3
1130,rob,を襲う,23,1,3
1131,deprive,(A)から(Bを)奪う,23,1,4
1132,devastrate,を壊滅させる,23,1,4
1133,hazard,危険,23,4,4
1134,orphan,孤児,23,4,4
1135,infant,幼児,23,4,4
1136,slave,奴隷,23,4,4
1137,acquaintance,知人,23,4,4
1138,merchant,商人,23,4,4
1139,resident,住人,23,4,4
1140,crew,乗組員,23,4,4
1141,commute,通勤する,23,1,5
1142,chase,を追いかける,23,1,5
1143,overtake,を追い越す,23,1,5
1144,fade,薄れる,23,1,5
1145,dissolve,溶ける,23,1,5
1146,float,浮かぶ,23,1,5
1147,sink,沈む,23,1,5
1148,fluctuate,変動する,23,1,5
1149,circulate,循環する,23,1,5
1150,transform,を(大幅に)変える,23,1,5
1151,shift,転換,24,4,1
1152,modify,を修正する,24,1,1
1153,revise,を修正する,24,1,1
1154,vehicle,車両,24,4,1
1155,voyage,航海,24,4,1
1156,confirm,を確認する,24,1,1
1157,ensure,を確実にする,24,1,1
1158,address,に取り組む,24,1,1
1159,approach,取り組み方,24,4,1
1160,resolve,を解決する,24,1,1
1161,settle,を解決する,24,1,2
1162,warn,に警告する,24,1,2
1163,force,に強いる,24,1,2
1164,boost,を促進させる,24,1,2
1165,appeal,訴える,24,1,2
1166,leap,跳ぶ,24,1,2
1167,grab,をつかむ,24,1,2
1168,seize,をつかむ,24,1,2
1169,cast,を投げる,24,1,2
1170,slap,を平手打ちする,24,1,2
1171,stun,を気絶させる,24,1,3
1172,illuminate,を照らす,24,1,3
1173,mend,を修繕する,24,1,3
1174,react,反応する,24,1,3
1175,endure,に耐える,24,1,3
1176,encounter,に偶然会う,24,1,3
1177,neglect,を怠る,24,1,3
1178,undergo,を経験する,24,1,3
1179,trace,を捜し出す,24,1,3
1180,conduct,を行う,24,1,3
1181,emerge,現れる,24,1,4
1182,unfold,展開する,24,1,4
1183,derive,由来する,24,1,4
1184,possess,を所有している,24,1,4
1185,retain,を保持する,24,1,4
1186,secure,を確保する,24,1,4
1187,capture,を捕らえる,24,1,4
1188,inquiry,調査,24,4,4
1189,specialize,専攻する,24,1,4
1190,semester,学期,24,4,4
1191,biology,生物学,24,4,5
1192,ecology,生態,24,4,5
1193,philosophy,哲学,24,4,5
1194,geography,地理,24,4,5
1195,psychology,心理学,24,4,5
1196,institution,機関,24,4,5
1197,dormitory,寮,24,4,5
1198,notion,考え,24,4,5
1199,concept,概念,24,4,5
1200,meditation,瞑想,24,4,5