1201,insight,洞察,25,4,1
1202,outlook,考え方,25,4,1
1203,caution,用心,25,4,1
1204,will,意志,25,4,1
1205,option,選択肢,25,4,1
1206,nightmare,悪夢,25,4,1
1207,keen,鋭い,25,2,1
1208,cherish,を大切にする,25,1,1
1209,intend,するつもりだ,25,1,1
1210,suspect,ではないかと思う,25,1,1
1211,comprehend,を(十分に)理解する,25,1,2
1212,misunderstand,を誤解している,25,1,2
1213,identify,を(何なのか)特定する,25,1,2
1214,permit,を許可する,25,1,2
1215,acknowledge,を認める,25,1,2
1216,trim,を刈り込む,25,1,2
1217,omit,を省く,25,1,2
1218,cultivate,を耕す,25,1,2
1219,shade,日陰,25,4,2
1220,breeze,そよ風,25,4,2
1221,desert,砂漠,25,4,3
1222,fog,霧,25,4,3
1223,moisture,湿気,25,4,3
1224,damp,湿った,25,2,3
1225,path,道,25,4,3
1226,trail,山道,25,4,3
1227,stream,小川,25,4,3
1228,tide,潮,25,4,3
1229,habitat,生息地,25,4,3
1230,layer,層,25,4,3
1231,volcano,火山,25,4,4
1232,mine,鉱山,25,4,4
1233,scent,香り,25,4,4
1234,wheat,小麦,25,4,4
1235,swallow,ツバメ,25,4,4
1236,web,巣,25,4,4
1237,cattle,ウシ,25,4,4
1238,kitten,子ネコ,25,4,4
1239,organism,生物,25,4,4
1240,wildlife,野生生物,25,4,4
1241,beast,野獣,25,4,5
1242,ape,類人猿,25,4,5
1243,mammal,哺乳動物,25,4,5
1244,flock,群れ,25,4,5
1245,breed,繁殖する,25,1,5
1246,reproduce,繁殖する,25,1,5
1247,hatch,(卵から)かえる,25,1,5
1248,diligent,勤勉な,25,2,5
1249,noble,高潔な,25,2,5
1250,arrogant,傲慢な,25,2,5
1251,timid,臆病な,26,2,1
1252,humble,控えめな,26,2,1
1253,inclined,する傾向がある,26,1,1
1254,principal,主要な,26,2,1
1255,prime,最重要な,26,2,1
1256,indispensable,不可欠な,26,2,1
1257,grave,重大な,26,2,1
1258,definite,明確な,26,2,1
1259,evident,明らかな,26,2,1
1260,prominent,目立った,26,2,1
1261,marked,際立った,26,2,2
1262,grace,優美さ,26,4,2
1263,charm,魅力,26,4,2
1264,rational,理性的な,26,2,2
1265,magnificent,壮大な,26,2,2
1266,superior,より優れている,26,2,2
1267,loyal,忠実な,26,2,2
1268,horrible,とてもひどい,26,2,2
1269,miserable,悲惨な,26,2,2
1270,dull,退屈な,26,2,2
1271,nasty,不快な,26,2,3
1272,insane,正気でない,26,2,3
1273,ridiculous,ばかげた,26,2,3
1274,notorious,悪名高い,26,2,3
1275,evil,悪い,26,2,3
1276,mess,乱雑,26,4,3
1277,vast,広大な,26,2,3
1278,huge,巨大な,26,2,3
1279,tiny,とても小さな,26,2,3
1280,sphere,球体,26,4,3
1281,strip,細長い一片,26,4,4
1282,internal,内部の,26,2,4
1283,mobile,流動的な,26,2,4
1284,steep,険しい,26,2,4
1285,intense,強烈な,26,2,4
1286,abstract,抽象的な,26,2,4
1287,inevitable,避けられない,26,2,4
1288,neutral,中立の,26,2,4
1289,brief,手短な,26,2,4
1290,potential,潜在的な,26,2,4
1291,tough,たくましい,26,2,5
1292,secondhand,中古の,26,2,5
1293,resemble,に似ている,26,2,5
1294,contrary,それどころか,26,3,5
1295,category,範疇,26,4,5
1296,scope,範囲,26,4,5
1297,respective,それぞれの,26,2,5
1298,given,定められた,26,2,5
1299,peculiar,固有の,26,2,5
1300,plenty,十分な,26,2,5
1301,sufficient,十分な,27,2,1
1302,numerous,多くの,27,2,1
1303,substantial,かなりの,27,2,1
1304,unit,単位,27,4,1
1305,diameter,直径,27,4,1
1306,quantity,量,27,4,1
1307,deficiency,欠乏,27,4,1
1308,lessen,を減らす,27,1,1
1309,era,時代,27,4,1
1310,session,期間,27,4,1
1311,pause,休止,27,4,2
1312,meanwhile,その間,27,3,2
1313,souvenir,土産,27,4,2
1314,brick,れんが,27,4,2
1315,pole,棒,27,4,2
1316,thread,糸,27,4,2
1317,mischief,いたずら,27,4,2
1318,superstition,迷信,27,4,2
1319,storage,貯蔵,27,4,2
1320,shelter,避難,27,4,2
1321,garment,衣類,27,4,3
1322,cabinet,戸棚,27,4,3
1323,recipe,レシピ,27,4,3
1324,brochure,パンフレット,27,4,3
1325,shipping,発送,27,4,3
1326,fetch,を取って来る,27,1,3
1327,distribute,を分配する,27,1,3
1328,statue,像,27,4,3
1329,sculpture,彫刻,27,4,3
1330,carve,を彫る,27,1,3
1331,myth,神話,27,4,4
1332,craft,工芸,27,4,4
1333,journal,雑誌,27,4,4
1334,heaven,天国,27,4,4
1335,funeral,葬式,27,4,4
1336,soul,魂,27,4,4
1337,priest,神父,27,4,4
1338,faith,信仰,27,4,4
1339,sacred,神聖な,27,2,4
1340,divine,神の,27,2,4
1341,context,文脈,27,4,5
1342,singular,単数の,27,2,5
1343,command,言語を操る力,27,4,5
1344,instance,例,27,4,5
1345,narrative,語り,27,4,5
1346,dialogue,会話,27,4,5
1347,usage,話法,27,4,5
1348,accent,訛,27,4,5
1349,temper,気性,27,4,5
1350,affection,愛情,27,4,5
1351,enthusiasm,情熱,28,4,1
1352,passion,情熱,28,4,1
1353,rage,激怒,28,4,1
1354,sorrow,悲しみ,28,4,1
1355,incredible,信じられない,28,2,1
1356,chuckle,くすくす笑う,28,1,1
1357,tease,をからかう,28,1,1
1358,dare,思い切って〜する,28,1,1
1359,willing,嫌がらずに〜する,28,2,1
1360,scream,悲鳴を上げる,28,1,1
1361,soothe,をなだめる,28,1,2
1362,tempt,を誘惑する,28,1,2
1363,scold,を叱る,28,1,2
1364,oppress,を圧迫する,28,1,2
1365,threaten,すると脅す,28,1,2
1366,delight,を喜ばせる,28,1,2
1367,astonish,を驚かせる,28,1,2
1368,mourn,を嘆く,28,1,2
1369,offend,を怒らせる,28,1,2
1370,depress,を憂鬱にさせる,28,1,2
1371,sacrifice,を犠牲にする,28,1,3
1372,impulse,衝動,28,4,3
1373,curse,災いの元,28,4,3
1374,factor,要因,28,4,3
1375,stem,原因である,28,1,3
1376,trigger,のきっかけになる,28,1,3
1377,consequence,結果,28,4,3
1378,process,過程,28,4,3
1379,resort,訴える,28,1,3
1380,formula,方法,28,4,3
1381,procedure,手続き,28,4,4
1382,extraordinary,並外れた,28,2,4
1383,absolute,絶対的な,28,2,4
1384,overwhelming,圧倒的な,28,2,4
1385,altogether,完全に,28,3,4
1386,entire,すべての,28,2,4
1387,tremendous,すさまじい,28,2,4
1388,sheer,とてつもない〜の,28,2,4
1389,partial,部分的な,28,2,4
1390,barely,かろうじて,28,3,4
1391,slight,わずかな,28,2,5
1392,approximately,おおよそ,28,2,5
1393,frequently,頻繁に,28,3,5
1394,apparently,どうやら〜らしい,28,3,5
1395,merely,にすぎない,28,3,5
1396,nevertheless,それにもかかわらず,28,3,5
1397,somehow,何らかの方法で,28,3,5
1398,thus,それゆえ,28,3,5
1399,pretty,まあまあ,28,2,5
1400,despite,にもかかわらず,28,3,5